actual,ACCOUNT_ACCESS_SECURITY,CONTEXT_NEEDED,DELIVERY_DELAY,DELIVERY_PROOF_FAILURE,DIGITAL_TECHNICAL,ORDER_MANAGEMENT,PAYMENT_BILLING_GIFTCARD,PRIME_MEMBERSHIP,PRODUCT_SELLER_ISSUE,RETURN_REFUND_REPLACEMENT,SUPPORT_ESCALATION
ACCOUNT_ACCESS_SECURITY,7,2,0,0,0,0,0,0,0,0,0
CONTEXT_NEEDED,2,28,1,0,5,1,1,4,0,1,1
DELIVERY_DELAY,0,2,17,5,0,2,0,0,1,0,0
DELIVERY_PROOF_FAILURE,0,1,7,7,0,5,1,0,0,0,0
DIGITAL_TECHNICAL,0,0,0,0,11,0,0,1,0,0,1
ORDER_MANAGEMENT,1,3,2,0,0,5,0,1,0,1,0
PAYMENT_BILLING_GIFTCARD,0,2,0,0,2,1,7,0,1,0,0
PRIME_MEMBERSHIP,0,0,3,1,1,0,0,9,0,0,0
PRODUCT_SELLER_ISSUE,0,1,1,0,0,0,0,0,6,0,0
RETURN_REFUND_REPLACEMENT,0,0,0,0,0,0,1,0,1,8,1
SUPPORT_ESCALATION,0,4,4,0,0,0,0,1,0,0,18
